Customer ID,Ordered Food,Ordered Time,Delivery Time (mins),Distance (km),Mode of Payment,Delivery Location,Delivery Guy ID,Customer Rating
CUST0034,Burger,9:08 PM,73,18.49,Cash,Uptown,DEL077,2.8
CUST0035,"Wrap, Rice Bowl",12:13 AM,38,8.86,Credit Card,Old Town,DEL033,2.2
CUST0036,Sandwich,2:03 PM,37,12.22,Credit Card,Tech Valley,DEL010,2.5
CUST0037,"Momos, Pizza",4:29 PM,20,23.26,Credit Card,Lakeside,DEL013,4.4
CUST0038,Fries,5:54 PM,74,8.63,Debit Card,Green Park,DEL072,4
CUST0039,"Coffee, Biryani, Momos",5:06 AM,116,11.9,Cash,Sunset Street,DEL008,2.1
CUST0040,"Sandwich, Samosa",2:26 AM,28,0.84,Wallet,City Center,DEL007,1.5
CUST0041,"Milkshake, Salad",1:53 AM,18,2.5,Wallet,Metro Square,DEL043,2
CUST0042,"Salad, Juice, Rice Bowl",5:42 AM,36,6.84,UPI,Airport Zone,DEL031,4.7
CUST0043,"Wrap, Burger, Milkshake, Fries",9:42 PM,43,1.18,Wallet,Metro Square,DEL061,3.3
CUST0044,"Milkshake, Noodles, Rice Bowl, Chips",12:40 AM,53,15.97,Credit Card,Hillview,DEL046,3.1
CUST0045,"Rice Bowl, Coke",9:40 PM,77,10.95,UPI,Downtown,DEL078,3.4
CUST0046,"Coffee, Sandwich",8:06 AM,109,13.93,Cash,Hillview,DEL077,2.5
CUST0047,Momos,5:51 PM,91,4.78,Wallet,Riverside,DEL006,4.2
CUST0048,"Biryani, Salad, Noodles, Fries",2:15 AM,24,7.75,Debit Card,Hillview,DEL001,3.1
CUST0049,"Pizza, Noodles",11:43 AM,60,16.76,Wallet,Sunset Street,DEL033,1.5
CUST0050,"Salad, Smoothie, Rice Bowl, Coke",10:48 PM,22,24.15,Cash,Hillview,DEL065,1.5
CUST0051,"Hotdog, Chips",7:36 PM,92,1.74,Debit Card,Uptown,DEL080,3.1
CUST0052,"Paneer Tikka, Momos",4:38 PM,58,22.31,Debit Card,Airport Zone,DEL049,4.7
CUST0053,Noodles,4:56 PM,79,14.63,Debit Card,City Center,DEL039,2.2
CUST0054,"Noodles, Wrap, Coke, Coffee",6:28 PM,65,14.32,Credit Card,Green Park,DEL051,4.5
CUST0055,"Coffee, Coke",4:57 AM,85,12.76,Wallet,Riverside,DEL048,4.1
CUST0056,Hotdog,3:05 AM,60,2.2,Cash,Uptown,DEL017,2
CUST0057,"Sandwich, Salad",2:01 PM,46,2.7,Wallet,Metro Square,DEL072,1.1
CUST0058,"Coffee, Sandwich",11:53 PM,26,15.22,UPI,Riverside,DEL006,1.4
CUST0059,"Coke, Samosa",5:32 PM,67,8.85,UPI,Sunset Street,DEL075,3.9
CUST0060,"Sandwich, Pasta, Momos",8:37 PM,96,22.97,Wallet,Metro Square,DEL023,1.8
CUST0061,Chips,9:59 AM,99,10.46,Wallet,Lakeside,DEL034,2.5
CUST0062,"Wrap, Rice Bowl, Juice",9:32 PM,38,4.01,Credit Card,Green Park,DEL022,3
CUST0063,"Fries, Salad, Coke",12:52 AM,42,18.01,Wallet,Tech Valley,DEL065,3.9
CUST0064,"Milkshake, Rice Bowl",2:34 AM,69,7.69,Wallet,Uptown,DEL064,1.5
CUST0065,"Tea, Sandwich, Chips",12:57 PM,100,13.37,Debit Card,Downtown,DEL044,2.6
CUST0066,"Pasta, Coke, Hotdog",8:19 AM,98,17.6,Credit Card,Downtown,DEL060,2.9
CUST0067,"Chips, Salad, Paneer Tikka",5:08 PM,64,22.56,Credit Card,Sunset Street,DEL017,3.2
CUST0068,Smoothie,5:48 AM,19,19.91,Credit Card,Sunset Street,DEL012,4.3
CUST0069,"Wrap, Rice Bowl, Salad",3:28 AM,56,17.07,Cash,Sunset Street,DEL041,1.7
CUST0070,"Pizza, Pasta",11:33 AM,32,17.15,UPI,Riverside,DEL068,4.2
CUST0071,"Coke, Momos, Paneer Tikka",4:47 PM,94,23.68,Credit Card,Metro Square,DEL056,3.8
CUST0072,"Samosa, Pizza, Pasta, Milkshake",7:36 AM,30,7.75,Wallet,City Center,DEL019,3.2
CUST0073,"Samosa, Biryani, Fries",2:32 PM,116,0.53,Debit Card,Uptown,DEL034,3.8
CUST0074,"Hotdog, Pizza, Wrap, Paneer Tikka",11:28 AM,22,7.16,UPI,Sunset Street,DEL015,2.6
CUST0075,"Paneer Tikka, Biryani",12:34 AM,110,5.84,Debit Card,Green Park,DEL041,1.6
CUST0076,"Wrap, Coffee",5:03 AM,42,16.71,Cash,Downtown,DEL006,3.7
CUST0077,Coffee,12:16 AM,33,16.03,Debit Card,Riverside,DEL017,3.1
CUST0078,"Hotdog, Smoothie",5:02 PM,117,15.04,Credit Card,Tech Valley,DEL064,3.6
CUST0079,"Fries, Samosa",1:30 PM,20,0.9,UPI,Uptown,DEL036,2.4
CUST0080,Milkshake,10:30 AM,26,18.36,Cash,Lakeside,DEL047,4.6
CUST0081,"Pizza, Smoothie",9:05 PM,77,8.43,Debit Card,Metro Square,DEL056,3.3
CUST0082,Noodles,5:53 AM,56,16.79,Wallet,City Center,DEL037,1.3
CUST0083,"Chips, Rice Bowl",6:24 AM,34,14.14,Wallet,Downtown,DEL034,2.8
CUST0084,Smoothie,6:05 PM,103,8.9,Cash,City Center,DEL079,4
CUST0085,"Chips, Burger, Wrap, Sandwich",9:38 AM,82,3.8,Cash,Airport Zone,DEL034,4.2
CUST0086,"Pasta, Fries",12:05 PM,30,2.81,Debit Card,Green Park,DEL067,3
CUST0087,"Samosa, Rice Bowl, Chips",8:42 PM,93,20.87,Credit Card,Lakeside,DEL041,4.6
CUST0088,Burger,2:59 AM,92,23,Cash,Airport Zone,DEL056,2.1
CUST0089,"Fries, Momos, Samosa",5:32 AM,92,16.42,UPI,Lakeside,DEL022,2.6
CUST0090,"Paneer Tikka, Pizza, Hotdog, Coffee",3:43 PM,21,3.03,Credit Card,Lakeside,DEL041,4.6
CUST0091,"Biryani, Samosa, Pasta",6:17 PM,46,10.35,UPI,Airport Zone,DEL063,4.6
CUST0092,Salad,5:38 AM,51,18.36,Wallet,Uptown,DEL020,3.7
CUST0093,"Wrap, Salad, Burger",9:27 PM,26,19.61,Wallet,Lakeside,DEL072,4.4
CUST0094,Sandwich,5:57 PM,110,3.4,Wallet,Riverside,DEL057,1.4
CUST0095,Salad,4:09 PM,57,0.5,Cash,Old Town,DEL007,4.5
CUST0096,"Burger, Noodles, Milkshake",2:46 PM,112,17.95,Wallet,Sunset Street,DEL025,2.3
CUST0097,"Chips, Pasta",12:37 PM,37,9.24,Debit Card,Riverside,DEL020,1.7
CUST0098,Pasta,9:59 PM,50,6.73,UPI,Riverside,DEL007,2
CUST0099,"Smoothie, Samosa, Juice, Coffee",3:42 PM,108,0.82,Wallet,Sunset Street,DEL030,2.7
CUST0100,"Smoothie, Burger",8:03 PM,56,13.74,Debit Card,Downtown,DEL024,2
CUST0101,"Hotdog, Burger, Pasta, Rice Bowl",8:02 AM,27,21.35,Debit Card,Riverside,DEL005,2.3
CUST0102,"Juice, Fries, Tea",6:22 PM,87,23.96,Credit Card,Hillview,DEL061,1.5
CUST0103,Juice,7:45 AM,108,14.36,Wallet,Airport Zone,DEL034,2.2
CUST0104,Sandwich,3:16 AM,117,13.1,UPI,City Center,DEL021,3.3
CUST0105,"Hotdog, Milkshake",2:50 AM,114,2.58,UPI,Hillview,DEL060,2.8
CUST0106,"Rice Bowl, Hotdog, Milkshake",6:27 PM,80,13.95,UPI,Hillview,DEL056,2.4
CUST0107,"Coffee, Rice Bowl",3:22 AM,114,9.81,Debit Card,Hillview,DEL015,4
CUST0108,"Juice, Burger, Coke",1:02 PM,22,15.37,Credit Card,Sunset Street,DEL064,4.6
CUST0109,"Juice, Coke, Fries, Chips",3:57 PM,91,10.02,Debit Card,Hillview,DEL006,4
CUST0110,"Wrap, Samosa",5:41 PM,110,6.39,Debit Card,Old Town,DEL057,2.3
CUST0111,"Samosa, Smoothie, Pizza",7:11 AM,22,2.83,Cash,Lakeside,DEL046,4
CUST0112,"Fries, Burger, Paneer Tikka, Milkshake",3:18 PM,109,8.22,Credit Card,Downtown,DEL072,1.6
CUST0113,"Samosa, Fries, Tea",9:57 PM,40,2.87,Cash,Hillview,DEL063,1.5
CUST0114,"Hotdog, Smoothie",10:35 PM,11,4.83,UPI,Sunset Street,DEL059,2.4
CUST0115,"Tea, Biryani, Milkshake",5:14 PM,25,24.69,Cash,Tech Valley,DEL064,4.2
CUST0116,"Milkshake, Rice Bowl, Tea, Samosa",10:46 AM,18,11.38,Wallet,Downtown,DEL015,2
CUST0117,"Smoothie, Milkshake",12:22 PM,82,13.53,Cash,Sunset Street,DEL019,1.3
CUST0118,"Salad, Wrap, Biryani, Rice Bowl",3:49 AM,47,21.9,Wallet,Airport Zone,DEL016,1.5
CUST0119,"Smoothie, Fries",2:37 PM,84,24.89,Cash,Old Town,DEL045,4.4
CUST0120,"Noodles, Paneer Tikka, Pasta, Fries",9:42 PM,63,14.78,Credit Card,Tech Valley,DEL012,3.5
CUST0121,"Juice, Chips",8:25 PM,65,20.41,UPI,City Center,DEL027,2
CUST0122,"Chips, Juice",5:18 AM,95,8.51,Wallet,Riverside,DEL037,3.2
CUST0123,"Samosa, Burger, Sandwich, Juice",8:02 PM,106,7.99,Debit Card,Green Park,DEL024,3.1
CUST0124,"Samosa, Coffee, Pizza",7:59 PM,109,10.37,Cash,Uptown,DEL022,3.6
CUST0125,"Salad, Milkshake",1:44 PM,118,16.98,UPI,Downtown,DEL066,1.9
CUST0126,"Momos, Pasta",8:18 PM,96,17.21,Wallet,Airport Zone,DEL035,4.5
CUST0127,Samosa,7:24 PM,54,8.22,UPI,Sunset Street,DEL073,2.2
CUST0128,Samosa,12:34 PM,118,3.76,Debit Card,Tech Valley,DEL075,3.8
CUST0129,"Chips, Milkshake, Juice, Sandwich",7:46 AM,43,15.99,UPI,Green Park,DEL028,1.1
CUST0130,Paneer Tikka,8:59 AM,18,3.64,Credit Card,Uptown,DEL075,2.5
CUST0131,Biryani,7:27 PM,97,14.67,Credit Card,Lakeside,DEL001,2.4
CUST0132,"Chips, Samosa",12:17 AM,17,17.49,UPI,Uptown,DEL068,3.2
CUST0133,"Samosa, Fries, Pasta",2:32 PM,16,17.66,Cash,Sunset Street,DEL074,1.3
CUST0134,Chips,9:09 AM,45,18.96,Credit Card,Metro Square,DEL024,4.2
CUST0135,"Samosa, Hotdog, Biryani, Wrap",2:28 AM,27,21.89,Cash,Downtown,DEL054,1.9
CUST0136,"Biryani, Milkshake, Tea",12:09 AM,12,12.75,UPI,Airport Zone,DEL010,3.7
CUST0137,"Wrap, Chips, Coffee, Burger",5:21 PM,37,18.39,UPI,Old Town,DEL032,4.2
CUST0138,"Sandwich, Wrap",3:24 AM,79,15.67,Cash,Green Park,DEL064,3.2
CUST0139,"Noodles, Hotdog",4:10 AM,117,5.07,Wallet,Uptown,DEL013,4
CUST0140,Smoothie,11:37 AM,53,1.13,Cash,Sunset Street,DEL043,3.6
CUST0141,"Pizza, Salad, Coke, Noodles",7:52 AM,30,7.47,Credit Card,Airport Zone,DEL004,2.4
CUST0142,"Pasta, Milkshake, Hotdog",8:26 PM,37,11.35,Debit Card,Riverside,DEL037,4.2
CUST0143,"Fries, Noodles, Smoothie",8:34 AM,113,15.62,Debit Card,Metro Square,DEL016,2.2
CUST0144,"Momos, Smoothie",5:08 PM,63,21.32,UPI,City Center,DEL051,3.3
CUST0145,Pasta,12:32 AM,63,5.31,Cash,Old Town,DEL048,4
CUST0146,"Hotdog, Salad, Fries, Pizza",6:50 PM,74,3.58,Credit Card,Lakeside,DEL076,2.5
CUST0147,"Tea, Smoothie, Rice Bowl, Hotdog",7:17 AM,109,24.11,Credit Card,Green Park,DEL014,2.2
CUST0148,Juice,5:25 PM,30,3.15,Cash,Uptown,DEL042,2.8
CUST0149,"Momos, Coke, Burger, Paneer Tikka",5:44 PM,116,12.22,Cash,Hillview,DEL020,4.3
CUST0150,Juice,4:14 PM,108,14.85,Cash,Green Park,DEL004,4.7
CUST0151,"Chips, Pasta, Coffee",7:02 PM,22,13.76,Debit Card,Tech Valley,DEL011,3.2
CUST0152,"Salad, Burger",1:08 PM,66,2.61,Wallet,Riverside,DEL059,3.6
CUST0153,Momos,8:25 AM,58,1.9,Credit Card,Hillview,DEL062,4.6
CUST0154,Coffee,3:09 PM,63,3.08,Cash,Downtown,DEL059,1.4
CUST0155,"Salad, Momos",4:28 PM,19,14.85,Wallet,Lakeside,DEL035,1.9
CUST0156,Pasta,7:36 PM,62,13.84,UPI,Uptown,DEL077,3.8
CUST0157,"Fries, Paneer Tikka, Rice Bowl",2:27 AM,53,6.23,UPI,Old Town,DEL001,4.3
CUST0158,Paneer Tikka,12:39 AM,56,16.13,Credit Card,Green Park,DEL043,4.4
CUST0159,"Sandwich, Wrap, Tea, Fries",2:05 AM,62,20.59,Credit Card,Old Town,DEL006,2.7
CUST0160,"Chips, Juice, Coffee",9:04 AM,83,1.52,UPI,Downtown,DEL080,1.4
CUST0161,"Noodles, Momos, Tea, Smoothie",6:53 AM,55,12.7,Wallet,Green Park,DEL058,2.8
CUST0162,"Samosa, Burger, Tea",3:37 AM,22,17.39,Cash,Green Park,DEL042,1.9
CUST0163,"Noodles, Burger, Wrap, Samosa",11:15 PM,46,6.68,Cash,Old Town,DEL073,2.2
CUST0164,Paneer Tikka,11:42 AM,111,8.04,Wallet,Airport Zone,DEL017,4.1
CUST0165,"Biryani, Paneer Tikka, Sandwich, Coffee",7:40 PM,33,15.53,Debit Card,Uptown,DEL028,1.3
CUST0166,"Samosa, Pizza",5:52 AM,11,22.5,Wallet,Airport Zone,DEL007,4.3
CUST0167,Wrap,6:45 AM,95,20.34,Credit Card,Airport Zone,DEL037,2.7
CUST0168,Pasta,1:06 PM,90,14.79,Cash,Uptown,DEL042,3.4
CUST0169,"Wrap, Samosa",7:13 AM,109,18.39,UPI,Green Park,DEL008,1.4
CUST0170,"Noodles, Wrap",3:46 PM,23,9.44,UPI,Sunset Street,DEL010,2.3
CUST0171,"Pizza, Samosa, Tea",1:57 PM,19,16.2,Credit Card,Hillview,DEL071,1.4
CUST0172,"Juice, Rice Bowl, Milkshake",12:21 AM,44,11.92,Wallet,Hillview,DEL078,4.8
CUST0173,Smoothie,5:15 AM,34,5.15,Debit Card,Airport Zone,DEL049,4.2
CUST0174,"Momos, Rice Bowl",1:58 AM,12,17.69,Cash,Lakeside,DEL012,2.8
CUST0175,Samosa,8:20 AM,111,14.13,Wallet,Tech Valley,DEL052,1.9
CUST0176,"Burger, Chips, Samosa, Coffee",5:32 PM,26,9.29,Wallet,Metro Square,DEL033,4.7
CUST0177,Biryani,3:25 AM,21,22.83,Debit Card,Green Park,DEL023,2.4
CUST0178,Pizza,10:49 AM,63,1.01,UPI,Riverside,DEL031,1.6
CUST0179,"Hotdog, Coffee, Wrap",10:01 PM,33,8.24,Debit Card,Lakeside,DEL052,3.3
CUST0180,Coke,5:23 AM,38,1.89,Credit Card,Metro Square,DEL012,4.8
CUST0181,"Juice, Fries, Rice Bowl",8:48 AM,52,19.28,Wallet,Uptown,DEL003,1
CUST0182,"Pizza, Coke",9:31 AM,34,17.7,Debit Card,Tech Valley,DEL027,2
CUST0183,"Coke, Pizza, Samosa, Burger",4:16 AM,109,8.62,UPI,Downtown,DEL021,4.8
CUST0184,"Sandwich, Juice, Coffee, Smoothie",3:39 AM,69,17.05,UPI,Metro Square,DEL050,1.7
CUST0185,"Rice Bowl, Samosa, Pizza, Juice",3:27 AM,99,10.2,UPI,Sunset Street,DEL052,1.5
CUST0186,"Juice, Fries, Milkshake",10:41 AM,111,19.03,Credit Card,Sunset Street,DEL037,3.3
CUST0187,"Coke, Sandwich, Rice Bowl, Pasta",1:55 AM,74,11.63,Cash,Downtown,DEL020,4.4
CUST0188,Samosa,6:44 AM,93,10.6,Debit Card,Downtown,DEL016,2.9
CUST0189,Coffee,9:17 AM,37,23.4,Credit Card,Hillview,DEL039,5
CUST0190,"Hotdog, Paneer Tikka, Smoothie, Fries",12:50 AM,25,6.65,UPI,Downtown,DEL063,3.7
CUST0191,"Smoothie, Pizza",6:26 PM,56,3.45,UPI,Lakeside,DEL056,1.3
CUST0192,Juice,12:54 PM,90,14.82,Credit Card,Riverside,DEL040,5
CUST0193,"Pizza, Salad, Wrap, Burger",2:30 AM,113,24.25,Cash,Downtown,DEL078,2.6
CUST0194,Hotdog,11:30 PM,101,9.76,Credit Card,Airport Zone,DEL017,2.1
CUST0195,Smoothie,11:04 PM,67,2.02,UPI,Hillview,DEL046,3.2
CUST0196,"Momos, Smoothie, Tea, Fries",4:08 PM,85,8.81,UPI,Green Park,DEL013,2.2
CUST0197,"Tea, Rice Bowl, Biryani",10:16 PM,36,12.9,Debit Card,Hillview,DEL048,1.3
CUST0198,"Biryani, Burger",7:34 PM,62,4.47,Cash,Uptown,DEL066,1
CUST0199,"Pizza, Sandwich, Salad",6:48 PM,51,16.62,Cash,Old Town,DEL026,2.8
CUST0200,"Biryani, Samosa",5:40 PM,68,24.94,Wallet,Hillview,DEL063,4.3
CUST0201,"Tea, Paneer Tikka",1:34 AM,56,11.57,Wallet,Downtown,DEL058,3.3
CUST0202,Rice Bowl,5:58 PM,103,9.19,Cash,Riverside,DEL050,5
CUST0203,"Sandwich, Juice, Milkshake, Biryani",11:00 PM,114,10.32,Cash,Lakeside,DEL061,2.1
CUST0204,"Sandwich, Momos",12:29 PM,43,3.32,UPI,Airport Zone,DEL035,2.1
CUST0205,Milkshake,5:09 PM,46,22.14,Credit Card,Old Town,DEL073,1.6
CUST0206,"Coke, Hotdog, Fries",3:17 AM,15,10.66,Debit Card,City Center,DEL077,1.7
CUST0207,"Fries, Coke",2:28 AM,16,9.99,Wallet,City Center,DEL055,2.1
CUST0208,"Fries, Coffee, Pizza, Milkshake",8:26 AM,105,16.66,Debit Card,Uptown,DEL012,4.2
CUST0209,"Coke, Hotdog",4:54 PM,105,11.33,Cash,Old Town,DEL055,4.6
CUST0210,Fries,3:50 AM,34,16.38,Debit Card,Downtown,DEL048,4.9
CUST0211,"Tea, Coffee, Hotdog, Momos",7:53 AM,42,2.01,UPI,Metro Square,DEL079,1.9
CUST0212,"Milkshake, Biryani, Rice Bowl",10:39 AM,64,20.44,Cash,Riverside,DEL024,4.5
CUST0213,"Milkshake, Juice",5:58 AM,67,23.54,Debit Card,Lakeside,DEL056,2.3
CUST0214,"Chips, Salad, Momos, Fries",12:40 PM,16,16.39,Cash,Tech Valley,DEL055,1.5
CUST0215,"Tea, Wrap",12:16 PM,66,23.89,UPI,Tech Valley,DEL012,4.5
CUST0216,Samosa,5:27 PM,21,4.21,Wallet,City Center,DEL006,3.5
CUST0217,"Samosa, Biryani, Tea, Burger",7:42 PM,25,12.2,Debit Card,Airport Zone,DEL066,1.7
CUST0218,"Coke, Noodles, Chips, Pizza",5:39 PM,89,15.24,Debit Card,Airport Zone,DEL044,2.7
CUST0219,"Wrap, Pizza",7:44 AM,52,14.75,UPI,Downtown,DEL060,2.1
CUST0220,Sandwich,6:25 PM,109,10.34,Cash,Riverside,DEL029,3.9
CUST0221,"Momos, Milkshake",10:39 PM,86,8.78,UPI,Old Town,DEL020,2.8
CUST0222,"Rice Bowl, Smoothie",5:28 PM,16,3.61,Cash,Green Park,DEL064,5
CUST0223,"Juice, Momos",9:59 AM,109,10.1,Cash,Old Town,DEL068,1.2
CUST0224,"Paneer Tikka, Chips",4:24 PM,60,4.49,Wallet,Old Town,DEL068,2.4
CUST0225,"Juice, Chips, Coffee",6:19 PM,82,18.49,Credit Card,Tech Valley,DEL011,2.9
CUST0226,"Noodles, Burger, Biryani",10:57 PM,41,5.62,UPI,Metro Square,DEL038,3
CUST0227,"Milkshake, Wrap, Juice, Paneer Tikka",2:20 AM,84,1.93,Debit Card,Hillview,DEL060,2.3
CUST0228,"Noodles, Tea, Burger, Hotdog",10:37 AM,17,14.03,Debit Card,Metro Square,DEL056,3.9
CUST0229,"Milkshake, Juice, Hotdog, Salad",8:20 AM,106,15.08,UPI,Airport Zone,DEL011,4.5
CUST0230,"Salad, Milkshake",9:03 PM,96,21.86,Cash,Airport Zone,DEL062,4.8
CUST0231,"Coffee, Milkshake, Wrap, Burger",3:07 AM,98,14.64,Wallet,Downtown,DEL039,4.2
CUST0232,Burger,7:08 PM,81,8.96,Credit Card,Metro Square,DEL020,4.4
CUST0233,Wrap,11:38 PM,54,20.17,UPI,Sunset Street,DEL017,3.2
CUST0234,Rice Bowl,9:11 PM,95,13.74,Debit Card,Old Town,DEL039,4.3
CUST0235,"Burger, Biryani, Salad, Wrap",1:54 AM,68,2.44,Wallet,Old Town,DEL032,2.2
CUST0236,"Noodles, Paneer Tikka, Sandwich, Coffee",9:49 PM,13,14.36,Wallet,Downtown,DEL067,2.6
CUST0237,"Momos, Pasta, Pizza, Salad",3:23 PM,113,22.75,Cash,City Center,DEL055,2.3
CUST0238,"Burger, Momos, Biryani, Wrap",7:44 AM,76,10.21,Cash,Tech Valley,DEL038,2.9
CUST0239,"Pizza, Milkshake, Smoothie",12:56 PM,38,7.76,Credit Card,Green Park,DEL073,2.1
CUST0240,Juice,10:02 PM,114,4.02,Debit Card,City Center,DEL007,4.8
CUST0241,"Noodles, Coffee",11:07 AM,38,4.21,Debit Card,Lakeside,DEL071,2.3
CUST0242,"Coke, Coffee, Milkshake",2:30 AM,107,11.1,Wallet,Airport Zone,DEL010,1.4
CUST0243,"Chips, Milkshake",2:27 AM,107,15.09,Credit Card,Green Park,DEL006,3.1
CUST0244,Chips,9:46 PM,37,2.48,Cash,Uptown,DEL066,1.2
CUST0245,Samosa,1:14 AM,86,23.52,Cash,Tech Valley,DEL014,1.4
CUST0246,"Noodles, Rice Bowl, Tea",7:34 PM,88,19,Cash,Hillview,DEL066,1.9
CUST0247,"Hotdog, Paneer Tikka, Milkshake",5:51 PM,96,14.87,Debit Card,Airport Zone,DEL055,2.9
CUST0248,"Salad, Smoothie",12:13 PM,53,20.8,UPI,Tech Valley,DEL053,2.7
CUST0249,"Rice Bowl, Smoothie",1:20 PM,99,2.46,UPI,Airport Zone,DEL013,4.2
CUST0250,Paneer Tikka,7:26 AM,13,12.18,Credit Card,Lakeside,DEL060,4
CUST0251,"Samosa, Smoothie, Hotdog, Rice Bowl",10:41 PM,99,15.94,Wallet,Riverside,DEL073,2.7
CUST0252,"Noodles, Hotdog, Milkshake",4:06 AM,113,20.8,Cash,Riverside,DEL033,2.3
CUST0253,"Burger, Samosa",4:37 PM,18,19.7,Cash,Airport Zone,DEL046,2.3
CUST0254,Wrap,8:20 AM,14,7.29,Debit Card,Riverside,DEL033,4.1
CUST0255,"Wrap, Coke, Salad, Hotdog",11:38 AM,65,23.55,UPI,Green Park,DEL075,1.2
CUST0256,"Momos, Fries, Rice Bowl",1:24 AM,105,3.55,Wallet,Airport Zone,DEL011,1.1
CUST0257,Milkshake,3:00 PM,93,21.94,Debit Card,Tech Valley,DEL065,4.2
CUST0258,Wrap,1:01 AM,59,24.29,Cash,City Center,DEL003,2.9
CUST0259,"Chips, Rice Bowl",7:41 PM,84,4.84,UPI,Riverside,DEL015,1.5
CUST0260,Paneer Tikka,8:36 PM,24,18.19,Cash,Downtown,DEL060,1.9
CUST0261,"Chips, Samosa, Pizza, Juice",9:51 AM,41,1.49,Debit Card,Riverside,DEL023,4.7
CUST0262,"Pasta, Wrap",4:19 AM,37,10.43,UPI,Lakeside,DEL024,4.4
CUST0263,"Momos, Salad, Pasta",4:37 PM,31,13.15,UPI,Sunset Street,DEL051,3.8
CUST0264,"Coke, Sandwich, Wrap, Fries",8:11 AM,114,14.73,Cash,Hillview,DEL006,2.9
CUST0265,"Wrap, Chips",1:18 AM,26,23.43,Cash,Hillview,DEL011,3.1
CUST0266,Burger,12:24 PM,68,16.97,UPI,Downtown,DEL054,4.9
CUST0267,"Rice Bowl, Burger, Wrap, Samosa",9:55 PM,99,12.29,Wallet,Old Town,DEL039,4.9
CUST0268,"Coke, Hotdog, Fries",8:50 AM,117,20.34,Debit Card,Old Town,DEL041,1.9
CUST0269,Biryani,11:55 PM,80,23.79,Wallet,Downtown,DEL076,4.2
